feature,importance
Tenure in Months,0.0899148563844128
Number of Referrals,0.08957486266236164
Contract_Two Year,0.07914316288657385
Monthly Charge,0.07212001897820965
Total Charges,0.07048477122462407
Total Revenue,0.06876141844354423
Total Long Distance Charges,0.05054486392814574
Internet Type_Fiber Optic,0.04809456532855466
Avg Monthly GB Download,0.03956102768220541
Age,0.03610085464004106
Contract_One Year,0.03481952449583197
Population,0.031396153859628864
Avg Monthly Long Distance Charges,0.028718973377799304
Number of Dependents,0.025757999590484623
Dependents_Yes,0.022515858887418604
Payment Method_Credit Card,0.02158648546569497
Internet Service_Yes,0.01667588444309865
Internet Type_Unknown,0.016500050386181787
Online Security_Yes,0.014458035199353653
Senior Citizen_Yes,0.012885969540740493
Premium Tech Support_Yes,0.012275562820141594
Paperless Billing_Yes,0.011712635159449147
Referred a Friend_Yes,0.010561686175797379
Internet Type_DSL,0.010285769297816676
Offer_Offer E,0.00830638914804246
Married_Yes,0.007801426510767063
Multiple Lines_Yes,0.006709527658688105
Total Extra Data Charges,0.0065288515400097925
Online Backup_Yes,0.00599719468374066
Streaming Music_Yes,0.005780923043509959
Streaming TV_Yes,0.005572274221799922
Total Refunds,0.005125819176171004
Payment Method_Mailed Check,0.0046926629947218685
Unlimited Data_Yes,0.004288377569618509
Gender_Male,0.004050059074079781
Streaming Movies_Yes,0.00402300038262564
Offer_Unknown,0.003994210000268004
Device Protection Plan_Yes,0.0030871535865505803
Under 30_Yes,0.00258323459078922
Offer_Offer B,0.002315420165058176
Offer_Offer D,0.002025532386826138
Phone Service_Yes,0.0014881296510108374
Offer_Offer C,0.0011788227576116216
